address,score,amount,category
io1r66zttrn4npger6x3r9uvp2xztwwp947wdvjm6,50,423932396913772096,earlybird
io14x4s3gkj0atx5wn2kw6nq43f00jgld8dm40xqc,50,423932396913772096,earlybird
io10svs34yjv6aznxwyrvrmpz2uxwpp75aflkkhdq,50,423932396913772096,earlybird
io1mhpaz9eeutvsfg4zfe0mk5svah8etq7330lu6h,50,423932396913772096,earlybird
io1dvfjg5xxnzpydnmq2q0n0n0ham2arytkkvrr2h,100,847864793827544192,earlybird
io184wnn4vdvhckg6aa8ftl6t9duxzxq0y8quc5yk,50,423932396913772096,earlybird
io1v9wm265xr9vd89fjjga3c08lhh6p88k47gjmw2,50,423932396913772096,earlybird
io10rydyexj7sccy2ayp747tz4qslqsr2vzmf53h2,50,423932396913772096,earlybird
io1wgexduyfqz4ht8y2sn7ez3hfnxyphgqnuw3cuq,100,847864793827544192,earlybird
io1mz7hpkherhdn06l2q52g2tlaqxg2gzd8yastlt,100,847864793827544192,earlybird
io1k7w9mng20lu9vyd2phqsxqtcjdkptg567zdpda,50,423932396913772096,earlybird
io1xq37vrzuxm53qgkys3nd5ujmlaumm6ad05nrdn,50,423932396913772096,earlybird
io1mdqt8u4epavzzsdj76x06a6nf8d00zl7nj28dd,50,423932396913772096,earlybird
io1mnk3xpndhxfj0fq4vsagpruvg8hmkn2wfaum9g,50,423932396913772096,earlybird
io18pxsmvtj86gccdlw4hx4xdt64p9jlxzj6s2eta,50,423932396913772096,earlybird
io1cchxj9ffwm75teycynjmuknffvwdmc5sk94pn5,50,423932396913772096,earlybird
io1anpy0apneak5hmwy6s0pd8ldww9kptshrzawfu,50,423932396913772096,earlybird
io1e9el83t605cdnp7n3mgzyyu9nzu5ku24azcgdy,50,423932396913772096,earlybird
io19z7m2p4x2svcd2szcq43zjxmuffy6f9wt077ld,50,423932396913772096,earlybird
io1je830l2szvx4sxgzrdcza24r2c65yz3gexd8ky,50,423932396913772096,earlybird
io1qpxcylly40aujk25kl0f3rzyhw076fj4te8ka9,50,423932396913772096,earlybird
io1y2fr5zjrgucy7qc9gyy777tlv6wy5y244cqcw9,50,423932396913772096,earlybird
io1kaehrg8qf235wkejnv2f9h37e03epa05zyr78w,50,423932396913772096,earlybird
io16al7c3e4pl0pu0zu77tsm0wn4g0rp0ttus9sdm,50,423932396913772096,earlybird
io1ng38uhwz5h9gv7gevmp7l3agghpa62ekx09tm2,50,423932396913772096,earlybird
io10zzktdl6nj7l0tpyvt2pn2u0veuehphgs3twrc,50,423932396913772096,earlybird
io16gmq0q5rsp2kuj5w6uxak0sguskeeqgkrlt5z9,50,423932396913772096,earlybird
io1fzpq9xfc3t368u2a2ae72phvw5693dkw7rugle,100,847864793827544192,earlybird
io1tchp3lc49v0vghqsgvrlqqh2jyhml5wuhdu4vv,50,423932396913772096,earlybird
io1mtscpxe0vn90fgvkezylmtpp25rtqpfc6lp7he,50,423932396913772096,earlybird
io1v2nemrqk4qugtteeg0qkrz5nszxmgqe25kktrr,50,423932396913772096,earlybird
io1xx730wmukjtpdknplnq6mknv8fex2mhh7tlnj8,50,423932396913772096,earlybird
io10zteau2elu3h0q5mk5aquzwv4hyqv5luuhedfj,100,847864793827544192,earlybird
io1ypggjpy70qn7c345twpce6kcdg7sdrtylgggyl,100,847864793827544192,earlybird
io1q388n2pyglqd0tfvemvnffh5tngrs5p0u7yr2y,50,423932396913772096,earlybird
io1pvr6wtn2ywfz5zplaa7aar8650ljmy89evh5sq,50,423932396913772096,earlybird
io1adsksk5ujjt06pmpawch7druva5rd6ssv0ztpn,50,423932396913772096,earlybird
io107q60wwu65kgu8amntaynljnathl87jwz2jcqh,50,423932396913772096,earlybird
io1609uftdrua8kj5u60f0gfa7ztpl3xq707zks9l,50,423932396913772096,earlybird
io1a06upguqeeh3n4p23msu8r55wq5jpdjw4v7g2j,50,423932396913772096,earlybird
io1fxeakr74hxyjf4pdltgc5ywq3a7h50jl0g93gn,50,423932396913772096,earlybird
io1960kktp6ylfknmsgmxcnthj042ckg8hv0a3lxt,50,423932396913772096,earlybird
io1xdva8lfqh08h2vwe44q0r5x7t0e84jnsef8m7e,50,423932396913772096,earlybird
io1yhl0fz8dytffjqvj34a7pqw84v3cx5ht2ng7ky,50,423932396913772096,earlybird
io1nwhdgpdpfweqp05trceaap5trcy2jkr3dssk49,50,423932396913772096,earlybird
io1lhgqr4ddelumk9ephye8vh0e6ngv8rev5x38c0,50,423932396913772096,earlybird
io14q2y38r5jwqcwpc4f7kq2rhdapjxwmxrg5hd6s,50,423932396913772096,earlybird
io1have0dwme4zjsfuv2vhs796j3qs4sxghpqthc2,100,847864793827544192,earlybird
io1nz3tzhry5tepg5em2rn339mscc7kvessrnlme9,50,423932396913772096,earlybird
io1vgyjuj0weqkzpfd0mx73mz2rnc76vhgsnzghde,50,423932396913772096,earlybird
io1ach64pwt09xkwyejv8cm88dhpjrz25xf5tm07r,50,423932396913772096,earlybird
io1gsezuhel8ryshm5ern80kv66q4txhpwefam285,50,423932396913772096,earlybird
io13z29ktuaymuyv2fx2xp8kf9gq452qmvtj4yta7,105,890258033518921472,earlybird
io1ndxapwqwf7m2sn626c7q23d3lkzhptljc05e2e,50,423932396913772096,earlybird
io1s548xdeyt5zhuc7hc5r4ydvv0ddq7jk56lvtgw,100,847864793827544192,earlybird
io1j0g4tdy5vtl5jcujkyslvnv8fqhdwsezk3ut4a,50,423932396913772096,earlybird
io1cjhlsly6m3tq7pykv69plzawtjnn8d9hm3et37,50,423932396913772096,earlybird
io16sxtnwgnmmm9rtp0ncwyws2dln0f840yvhg3ld,50,423932396913772096,earlybird
io1tyuh8k0nfpr57tkeu44kfuwl9snnqghd4mrfw8,50,423932396913772096,earlybird
io1ctm9wu5uzlsqf6hh0xpl9e9zgsfsfd02zfyzr2,50,423932396913772096,earlybird
io1em88ltkvycslav95m4hv98j4kt8an9hyvj5j85,50,423932396913772096,earlybird
io1wk7mx3gpgsfqttjdumdhn75xy8sdzgnjwgy4um,50,423932396913772096,earlybird
io1fyc42qpxzem8twja88nc0wweacwp0ecevm2f9c,50,423932396913772096,earlybird
io1z26x3q8p5yvr3tfggf39epd9xncphkpmklqg8n,50,423932396913772096,earlybird
io1jvckrwxwak09p2zwvy4z5gfhvekcpa9zmq8j0e,50,423932396913772096,earlybird
io14mvdzrwgynlmzs4u4v3y8f3mjlxz4w2nkwreq5,50,423932396913772096,earlybird
io1k6v5xpvqflxqwr2gqp4088smhv4k5puj0wavq9,100,847864793827544192,earlybird
io166ccj9quwmpxxcazf2dyuacj3p0yh38fq32zv7,50,423932396913772096,earlybird
io1f8q85037jppyw8smtfx8mdlq87jmkcm7l3e44j,50,423932396913772096,earlybird
io158jzphcn80tgw3ljswmesplj0028u97zp7ernm,100,847864793827544192,earlybird
io1x6mar9hlfkxtcyha379fq7ald0kpmt0d3qlyv0,50,423932396913772096,earlybird
io1tmt2vp28afp2vd3h598n0lwu6sj3lyc64apjw3,885,7503603425373766656,earlybird
io1r5he4g8us38ucykjm0wduewp8ycgnw68rkmmus,50,423932396913772096,earlybird
io15pv9a7d8559garn36knss9uwxpwtpd25x0v6f7,50,423932396913772096,earlybird
io1jxa8n386472ap45zjjf3tpv22q3c5x2wy8uqka,50,423932396913772096,earlybird
io1n0rt4uavjvze22cqgf7zt0f8yxufm6kf2cueqw,50,423932396913772096,earlybird
io1qdc0vawt20p2vrr65s6hajf6f4waujv6dzzu9q,50,423932396913772096,earlybird
io16am9rfu3lv23xumc9mh82assfkwxfqqf0u33u8,50,423932396913772096,earlybird
io1sxvhqwqlnnah8v2rv5yee7uzwkntd0afj3hvud,50,423932396913772096,earlybird
io1k9ykn74gz2l456cm0thg4tnflqcfxw66z7vvre,50,423932396913772096,earlybird
io158kucr5205z4v54padvy0qxw4hemqz6ue8vn3e,60,508718876296526592,earlybird
io1n8av5f9vaj0ysnf294vgyys0dapdxvnc97s6ff,50,423932396913772096,earlybird
io1w3uhs3ps64jsh6pmlu9vpvz4hzvwzez3tut2cl,50,423932396913772096,earlybird
io1v9r84ckmccqczl00r0sdepvaunsk456pcw9rvq,100,847864793827544192,earlybird
io1lq8snshs3wwfl6r7fdpmq5a3fm5j7vnn4g68kr,100,847864793827544192,earlybird
io14za9e28m6r0gajqwwm92ytw0w6lazt4c69v26r,50,423932396913772096,earlybird
